Surface Name,6:F0,6:F1,6:F2,6:F2_W0,6:F3,6:F3_W0,6:F3_W1,6:F4
 01/02 13:10,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 13:20,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 13:30,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 13:40,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 13:50,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 14:00,781.1715708,0.084862385,783.539956,0.084862385,221.7157161,0.163716814,783.539956,0.024899058
 01/02 14:10,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 14:20,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 14:30,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 14:40,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 14:50,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 15:00,713.7481748,0.087155963,715.8987971,0.087155963,423.8397679,0.168141593,715.8987971,0.025572005
 01/02 15:10,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 15:20,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 15:30,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 15:40,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 15:50,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 16:00,599.2493031,0.089449541,601.0323411,0.089449541,565.0151332,0.172566372,0.048994975,0.026244953
 01/02 16:10,429.2867765,0.091743119,430.5257127,0.091743119,586.7018879,0.17699115,0.050251256,0.0269179
 01/02 16:20,429.2867765,0.091743119,430.5257127,0.091743119,586.7018879,0.17699115,0.050251256,0.0269179
 01/02 16:30,429.2867765,0.091743119,430.5257127,0.091743119,586.7018879,0.17699115,0.050251256,0.0269179
